,count,key,month,satellite,vis_median,year
136,3056,tamilnadu-tirunelveli,5,F10,1.9730,1993
137,3329,tamilnadu-virudhunagar,5,F10,1.4286,1993
138,21419,tamilnadu-viluppuram,5,F10,1.1111,1993
139,6355,tamilnadu-thiruvarur,5,F10,1.9259,1993
140,5388,tamilnadu-tiruchirappalli,5,F10,1.3000,1993
141,4215,tamilnadu-ramanathapuram,5,F10,0.3000,1993
142,2073,tamilnadu-tiruppur,5,F10,1.4615,1993
143,11258,tamilnadu-cuddalore,5,F10,1.3000,1993
144,2831,tamilnadu-dindigul,5,F10,1.1176,1993
145,517,tamilnadu-theni,5,F10,2.0000,1993
146,17223,tamilnadu-kancheepuram,5,F10,1.1111,1993
147,1594,tamilnadu-karur,5,F10,1.1176,1993
148,6051,tamilnadu-dharmapuri,5,F10,-0.5484,1993
149,5617,tamilnadu-krishnagiri,5,F10,0.1176,1993
150,1875,tamilnadu-perambalur,5,F10,0.1176,1993
151,5133,tamilnadu-sivaganga,5,F10,0.4615,1993
152,11856,tamilnadu-vellore,5,F10,1.4286,1993
153,147,tamilnadu-the-nilgiris,5,F10,0.8000,1993
154,4720,tamilnadu-madurai,5,F10,2.3000,1993
155,3596,tamilnadu-tirunelveli,6,F10,2.0000,1993
156,14051,tamilnadu-kancheepuram,6,F10,1.6000,1993
157,3397,tamilnadu-namakkal,6,F10,2.0000,1993
158,2077,tamilnadu-tiruppur,6,F10,2.0000,1993
159,9804,tamilnadu-vellore,6,F10,2.5000,1993
160,3799,tamilnadu-ramanathapuram,6,F10,0.0000,1993
161,1409,tamilnadu-coimbatore,6,F10,2.0000,1993
162,2240,tamilnadu-dindigul,6,F10,1.0000,1993
163,508,tamilnadu-theni,6,F10,1.0000,1993
164,5068,tamilnadu-sivaganga,6,F10,0.0000,1993
165,498,tamilnadu-kanniyakumari,6,F10,2.0000,1993
166,6014,tamilnadu-krishnagiri,6,F10,1.0000,1993
167,5700,tamilnadu-salem,6,F10,3.0000,1993
168,6734,tamilnadu-dharmapuri,6,F10,1.0000,1993
169,9970,tamilnadu-thanjavur,6,F10,2.0000,1993
170,4570,tamilnadu-virudhunagar,6,F10,1.0000,1993
171,17368,tamilnadu-viluppuram,6,F10,1.4167,1993
172,4417,tamilnadu-tiruchirappalli,6,F10,2.0000,1993
173,2130,tamilnadu-ariyalur,6,F10,1.0000,1993
174,6309,tamilnadu-thiruvarur,6,F10,2.0000,1993
175,8176,tamilnadu-thiruvallur,6,F10,3.0000,1993
176,250,tamilnadu-the-nilgiris,6,F10,0.0000,1993
177,5863,tamilnadu-nagapattinam,6,F10,2.0000,1993
178,3513,tamilnadu-erode,6,F10,2.0000,1993
179,1623,tamilnadu-karur,6,F10,1.4167,1993
180,1446,tamilnadu-perambalur,6,F10,1.0000,1993
181,4049,tamilnadu-thoothukkudi,6,F10,1.0000,1993
182,8193,tamilnadu-pudukkottai,6,F10,0.5000,1993
183,9642,tamilnadu-cuddalore,6,F10,2.0000,1993
184,14623,tamilnadu-tiruvannamalai,6,F10,1.0000,1993
185,4375,tamilnadu-madurai,6,F10,2.0000,1993
186,3473,tamilnadu-thanjavur,7,F10,3.7500,1993
187,52,tamilnadu-the-nilgiris,7,F10,5.7143,1993
188,2122,tamilnadu-thiruvarur,7,F10,3.7500,1993
189,468,tamilnadu-krishnagiri,7,F10,3.0000,1993
190,2526,tamilnadu-pudukkottai,7,F10,1.7500,1993
191,1989,tamilnadu-nagapattinam,7,F10,3.7143,1993
192,1036,tamilnadu-sivaganga,7,F10,1.5000,1993
193,375,tamilnadu-coimbatore,7,F10,4.7500,1993
194,911,tamilnadu-namakkal,7,F10,3.5000,1993
195,499,tamilnadu-karur,7,F10,2.7143,1993
196,3180,tamilnadu-cuddalore,7,F10,3.5000,1993
197,137,tamilnadu-theni,7,F10,3.5000,1993
198,3835,tamilnadu-kancheepuram,7,F10,3.0000,1993
199,525,tamilnadu-perambalur,7,F10,1.5000,1993
200,803,tamilnadu-ramanathapuram,7,F10,0.5000,1993
201,3064,tamilnadu-tiruvannamalai,7,F10,2.0000,1993
202,473,tamilnadu-thoothukkudi,7,F10,0.5000,1993
203,714,tamilnadu-erode,7,F10,5.7143,1993
204,412,tamilnadu-dindigul,7,F10,3.5000,1993
205,1216,tamilnadu-tiruchirappalli,7,F10,3.7143,1993
206,680,tamilnadu-tiruppur,7,F10,4.0000,1993
207,4257,tamilnadu-viluppuram,7,F10,2.7500,1993
208,1296,tamilnadu-salem,7,F10,4.5000,1993
209,676,tamilnadu-ariyalur,7,F10,2.7321,1993
210,972,tamilnadu-madurai,7,F10,2.7143,1993
211,1008,tamilnadu-dharmapuri,7,F10,3.0000,1993
212,1244,tamilnadu-vellore,7,F10,5.0000,1993
213,449,tamilnadu-tirunelveli,7,F10,1.7143,1993
214,2799,tamilnadu-thiruvallur,7,F10,4.0000,1993
215,26,tamilnadu-kanniyakumari,7,F10,2.5000,1993
216,937,tamilnadu-virudhunagar,7,F10,0.7143,1993
217,1543,tamilnadu-dindigul,8,F10,2.2034,1993
218,1809,tamilnadu-namakkal,8,F10,3.3051,1993
219,2535,tamilnadu-ramanathapuram,8,F10,-0.6949,1993
220,7630,tamilnadu-tiruvannamalai,8,F10,0.5556,1993
221,363,tamilnadu-theni,8,F10,2.2034,1993
222,6856,tamilnadu-thanjavur,8,F10,1.3051,1993
223,1390,tamilnadu-ariyalur,8,F10,1.1333,1993
224,10177,tamilnadu-viluppuram,8,F10,0.8077,1993
225,810,tamilnadu-karur,8,F10,2.1333,1993
226,2758,tamilnadu-thoothukkudi,8,F10,0.2034,1993
227,6410,tamilnadu-pudukkottai,8,F10,0.3594,1993
228,1452,tamilnadu-tiruppur,8,F10,2.9524,1993
229,4115,tamilnadu-vellore,8,F10,2.1333,1993
230,313,tamilnadu-kanniyakumari,8,F10,2.2034,1993
231,4325,tamilnadu-thiruvarur,8,F10,2.1333,1993
232,901,tamilnadu-perambalur,8,F10,0.3810,1993
233,2847,tamilnadu-madurai,8,F10,2.2034,1993
234,8305,tamilnadu-kancheepuram,8,F10,0.3051,1993
235,5739,tamilnadu-cuddalore,8,F10,1.2034,1993
236,4337,tamilnadu-nagapattinam,8,F10,1.2034,1993
237,201,tamilnadu-the-nilgiris,8,F10,1.8077,1993
238,3707,tamilnadu-thiruvallur,8,F10,0.5556,1993
